priority,disposition,audience,cluster,cluster_canonical,status,in_sitemap,imp,clk,ctr,pos,slug,url,lastmod,reason
P1,UPGRADE,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,indexed_with_traffic,True,148,0,0.0,8.1,iphone-14-screen-grade-repair-shops,https://www.phonerepairspares.com/blog/iphone-14-screen-grade-repair-shops,2026-04-22T02:04:51.085Z,高曝光 0 点击：修 Title/Meta/Schema、加原创数据
P2,KEEP_AS_CANONICAL_LOW,B2B,charging-port-flex-misc,how-to-choose-charging-ports-bulk-repair-orders,discovered_not_crawled,True,,,,,how-to-choose-charging-ports-bulk-repair-orders,https://www.phonerepairspares.com/blog/how-to-choose-charging-ports-bulk-repair-orders,2026-04-22T02:04:51.084Z,作为集群 canonical（低曝光）：升级内容
P2,MERGE_301,B2B,charging-port-flex-misc,how-to-choose-charging-ports-bulk-repair-orders,discovered_not_crawled,True,,,,,how-choose-charging-port-flex-cables-bulk-repair-orders,https://www.phonerepairspares.com/blog/how-choose-charging-port-flex-cables-bulk-repair-orders,2026-04-22T02:04:51.085Z,301 → /blog/how-to-choose-charging-ports-bulk-repair-orders（charging-port-flex-misc 集群）
P2,MERGE_301,B2B,charging-port-flex-misc,how-to-choose-charging-ports-bulk-repair-orders,discovered_not_crawled,True,,,,,why-third-party-lightning-cables-burn-pin-4,https://www.phonerepairspares.com/blog/why-third-party-lightning-cables-burn-pin-4,2026-04-22T02:04:51.085Z,301 → /blog/how-to-choose-charging-ports-bulk-repair-orders（charging-port-flex-misc 集群）
P2,MERGE_301,B2B,charging-port-flex-misc,how-to-choose-charging-ports-bulk-repair-orders,discovered_not_crawled,True,,,,,samsung-a-series-charging-port-failure-after-replacement,https://www.phonerepairspares.com/blog/samsung-a-series-charging-port-failure-after-replacement,2026-04-22T02:04:51.085Z,301 → /blog/how-to-choose-charging-ports-bulk-repair-orders（charging-port-flex-misc 集群）
P2,MERGE_301,B2B,iphone-back-glass,is-your-iphone-14-pro-max-back-glass-worth-fixing-the-complete-cost-benefit-guide-for-repair-shop-owners,discovered_not_crawled,True,,,,,iphone-housing-swap-nfc-apple-pay-troubleshooting,https://www.phonerepairspares.com/blog/iphone-housing-swap-nfc-apple-pay-troubleshooting,2026-04-22T02:04:51.085Z,301 → /blog/is-your-iphone-14-pro-max-back-glass-worth-fixing-the-complete-cost-benefit-guide-for-repair-shop-owners（iphone-back-glass 集群）
P2,MERGE_301,B2B,iphone-back-glass,is-your-iphone-14-pro-max-back-glass-worth-fixing-the-complete-cost-benefit-guide-for-repair-shop-owners,discovered_not_crawled,True,,,,,back-glass-replacement-iphone-guide,https://www.phonerepairspares.com/blog/back-glass-replacement-iphone-guide,2026-04-22T02:04:51.085Z,301 → /blog/is-your-iphone-14-pro-max-back-glass-worth-fixing-the-complete-cost-benefit-guide-for-repair-shop-owners（iphone-back-glass 集群）
P2,DELETE_NOINDEX,B2C-misaligned,iphone-battery-cost,common-iphone-battery-quality-problems-wholesale-buyers-check,indexed_no_traffic,True,,,,,phone-battery-replacement-safety-standards,https://www.phonerepairspares.com/blog/phone-battery-replacement-safety-standards,2026-04-22T02:04:51.084Z,B2C 错位集群非 canonical：noindex
P2,FIX_OR_DELETE,B2C-misaligned,iphone-battery-cost,common-iphone-battery-quality-problems-wholesale-buyers-check,discovered_not_crawled,False,,,,,why-are-mobile-phone-battery-replacement-safety-standards-critical-for-your-device-and-personal-safety,https://www.phonerepairspares.com/blog/why-are-mobile-phone-battery-replacement-safety-standards-critical-for-your-device-and-personal-safety,,GSC 知道但 sitemap 没有：核实文章是否仍发布；若已废弃返回 410
P2,FIX_OR_DELETE,B2C-misaligned,iphone-cost-by-model,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,discovered_not_crawled,False,,,,,iphone-14-screen-replacement-the-design-change-that-breaks-screens-and-how-to-avoid-it,https://www.phonerepairspares.com/blog/iphone-14-screen-replacement-the-design-change-that-breaks-screens-and-how-to-avoid-it,,GSC 知道但 sitemap 没有：核实文章是否仍发布；若已废弃返回 410
P2,DELETE_NOINDEX,B2C-misaligned,iphone-cost-by-model,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,indexed_no_traffic,True,,,,,iphone-15-screen-replacement-cost-quality,https://www.phonerepairspares.com/blog/iphone-15-screen-replacement-cost-quality,2026-04-22T02:04:51.084Z,B2C 错位集群非 canonical：noindex
P2,DELETE_NOINDEX,B2C-misaligned,iphone-cost-by-model,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,indexed_no_traffic,True,,,,,iphone-15-screen-replacement-cost-repair-shops,https://www.phonerepairspares.com/blog/iphone-15-screen-replacement-cost-repair-shops,2026-04-22T02:04:51.084Z,B2C 错位集群非 canonical：noindex
P2,DELETE_NOINDEX,B2C-misaligned,iphone-cost-by-model,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,indexed_no_traffic,True,,,,,iphone-14-screen-replacement-design-fix,https://www.phonerepairspares.com/blog/iphone-14-screen-replacement-design-fix,2026-04-22T02:04:51.085Z,B2C 错位集群非 canonical：noindex
P2,DELETE_NOINDEX,B2C-misaligned,iphone-cost-by-model,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,indexed_no_traffic,True,,,,,iphone-charging-port-replacement-cost-uk,https://www.phonerepairspares.com/blog/iphone-charging-port-replacement-cost-uk,2026-04-22T02:04:51.085Z,B2C 错位集群非 canonical：noindex
P2,DELETE_NOINDEX,B2C-misaligned,iphone-cost-by-model,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,indexed_no_traffic,True,,,,,iphone-15-screen-replacement,https://www.phonerepairspares.com/blog/iphone-15-screen-replacement,2026-04-22T02:04:51.085Z,B2C 错位集群非 canonical：noindex
P2,FIX_OR_DELETE,B2C-misaligned,iphone-cost-by-model,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,discovered_not_crawled,False,,,,,iphone-15-screen-replacement-the-real-cost-quality-grades-what-repair-shops-wont-tell-you,https://www.phonerepairspares.com/blog/iphone-15-screen-replacement-the-real-cost-quality-grades-what-repair-shops-wont-tell-you,,GSC 知道但 sitemap 没有：核实文章是否仍发布；若已废弃返回 410
P2,DELETE_NOINDEX,B2C-misaligned,iphone-cost-by-model,iphone-screen-replacement-cost-uk-complete-price-guide-by-model-2026,indexed_no_traffic,True,,,,,iphone-16-screen-replacement,https://www.phonerepairspares.com/blog/iphone-16-screen-replacement,2026-04-22T02:04:51.085Z,B2C 错位集群非 canonical：noindex
P2,KEEP_AS_CANONICAL_LOW,B2B,lcd-refurb,diy-vs-professional-phone-screen-repair,discovered_not_crawled,True,,,,,diy-vs-professional-phone-screen-repair,https://www.phonerepairspares.com/blog/diy-vs-professional-phone-screen-repair,2026-04-22T02:04:51.085Z,作为集群 canonical（低曝光）：升级内容
P2,MERGE_301,B2B,lcd-refurb,diy-vs-professional-phone-screen-repair,discovered_not_crawled,True,,,,,lcd-refurbishing-beginner-mistakes-and-tools,https://www.phonerepairspares.com/blog/lcd-refurbishing-beginner-mistakes-and-tools,2026-04-22T02:04:51.085Z,301 → /blog/diy-vs-professional-phone-screen-repair（lcd-refurb 集群）
P2,DELETE_NOINDEX,B2C-misaligned,screen-tech-edu,how-are-mobile-phone-screens-made-complete-production-process-analysis-from-lcd-to-oled,indexed_no_traffic,True,,,,,how-phone-screens-are-made-lcd-oled,https://www.phonerepairspares.com/blog/how-phone-screens-are-made-lcd-oled,2026-04-22T02:04:51.084Z,B2C 错位集群非 canonical：noindex
P2,KEEP_AS_CANONICAL_LOW,B2B,shipping-import,air-freight-vs-sea-freight-phone-parts,discovered_not_crawled,True,,,,,air-freight-vs-sea-freight-phone-parts,https://www.phonerepairspares.com/blog/air-freight-vs-sea-freight-phone-parts,2026-04-22T02:04:51.085Z,作为集群 canonical（低曝光）：升级内容
P2,MERGE_301,B2B,shipping-import,air-freight-vs-sea-freight-phone-parts,discovered_not_crawled,True,,,,,uk-eu-import-phone-parts-china,https://www.phonerepairspares.com/blog/uk-eu-import-phone-parts-china,2026-04-22T02:04:51.085Z,301 → /blog/air-freight-vs-sea-freight-phone-parts（shipping-import 集群）
P2,KEEP_AS_CANONICAL_LOW,B2B,wholesale-batteries,buying-iphone-batteries-bulk-repair-business,discovered_not_crawled,True,,,,,buying-iphone-batteries-bulk-repair-business,https://www.phonerepairspares.com/blog/buying-iphone-batteries-bulk-repair-business,2026-04-22T02:04:51.085Z,作为集群 canonical（低曝光）：升级内容
P2,MERGE_301,B2B,wholesale-batteries,buying-iphone-batteries-bulk-repair-business,discovered_not_crawled,True,,,,,iphone-battery-specs-wholesale-buying-guide,https://www.phonerepairspares.com/blog/iphone-battery-specs-wholesale-buying-guide,2026-04-22T02:04:51.085Z,301 → /blog/buying-iphone-batteries-bulk-repair-business（wholesale-batteries 集群）
P2,MERGE_301,B2B,wholesale-batteries,buying-iphone-batteries-bulk-repair-business,discovered_not_crawled,True,,,,,how-repair-shops-choose-iphone-battery-grades-wholesale-orders,https://www.phonerepairspares.com/blog/how-repair-shops-choose-iphone-battery-grades-wholesale-orders,2026-04-22T02:04:51.085Z,301 → /blog/buying-iphone-batteries-bulk-repair-business（wholesale-batteries 集群）
P2,KEEP_AS_CANONICAL_LOW,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,indexed_with_traffic,True,2,0,0.0,9.0,when-repair-shops-restock-fast-moving-phone-parts,https://www.phonerepairspares.com/blog/when-repair-shops-restock-fast-moving-phone-parts,2026-04-22T02:04:51.085Z,作为集群 canonical（低曝光）：升级内容
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,indexed_with_traffic,True,1,0,0.0,4.0,which-small-phone-parts-create-most-repeat-demand-repair-shops,https://www.phonerepairspares.com/blog/which-small-phone-parts-create-most-repeat-demand-repair-shops,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,best-phone-screen-models-stock-bulk-2026,https://www.phonerepairspares.com/blog/best-phone-screen-models-stock-bulk-2026,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,repair-shop-customer-dispute-script-2026,https://www.phonerepairspares.com/blog/repair-shop-customer-dispute-script-2026,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,repair-shop-budget-split-screens-batteries-small-parts,https://www.phonerepairspares.com/blog/repair-shop-budget-split-screens-batteries-small-parts,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,repair-shops-buy-screens-bulk,https://www.phonerepairspares.com/blog/repair-shops-buy-screens-bulk,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,phone-screen-repair-pricing-strategy,https://www.phonerepairspares.com/blog/phone-screen-repair-pricing-strategy,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,how-small-repair-shops-buy-phone-parts-mixed-orders,https://www.phonerepairspares.com/blog/how-small-repair-shops-buy-phone-parts-mixed-orders,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,combine-batteries-charging-ports-small-parts-one-repair-order,https://www.phonerepairspares.com/blog/combine-batteries-charging-ports-small-parts-one-repair-order,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,which-repair-parts-bring-most-repeat-orders,https://www.phonerepairspares.com/blog/which-repair-parts-bring-most-repeat-orders,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,phone-parts-reorder-monthly-repair-shops,https://www.phonerepairspares.com/blog/phone-parts-reorder-monthly-repair-shops,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,phone-repair-shop-additional-revenue-streams-2026,https://www.phonerepairspares.com/blog/phone-repair-shop-additional-revenue-streams-2026,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,samsung-a-series-vs-iphone-parts-stock-first,https://www.phonerepairspares.com/blog/samsung-a-series-vs-iphone-parts-stock-first,2026-04-22T02:04:51.084Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,phone-parts-small-repair-shop-stock-2026,https://www.phonerepairspares.com/blog/phone-parts-small-repair-shop-stock-2026,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,how-new-repair-shops-build-a-starter-inventory-without-overstocking,https://www.phonerepairspares.com/blog/how-new-repair-shops-build-a-starter-inventory-without-overstocking,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,samsung-a-series-repair-parts-stock-guide,https://www.phonerepairspares.com/blog/samsung-a-series-repair-parts-stock-guide,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,FIX_OR_DELETE,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,False,,,,,how-can-you-capitalize-on-the-4552b-mobile-repair-boom-with-premium-wholesale-strategies,https://www.phonerepairspares.com/blog/how-can-you-capitalize-on-the-4552b-mobile-repair-boom-with-premium-wholesale-strategies,,GSC 知道但 sitemap 没有：核实文章是否仍发布；若已废弃返回 410
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,indexed_no_traffic,True,,,,,mobile-repair-wholesale-growth-strategies,https://www.phonerepairspares.com/blog/mobile-repair-wholesale-growth-strategies,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,best-iphone-repair-roi-small-shops-2026,https://www.phonerepairspares.com/blog/best-iphone-repair-roi-small-shops-2026,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesale-shop-business,when-repair-shops-restock-fast-moving-phone-parts,discovered_not_crawled,True,,,,,phone-screen-warranty-return-policy-wholesale,https://www.phonerepairspares.com/blog/phone-screen-warranty-return-policy-wholesale,2026-04-22T02:04:51.085Z,301 → /blog/when-repair-shops-restock-fast-moving-phone-parts（wholesale-shop-business 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,indexed_with_traffic,True,57,0,0.0,4.9,phone-lcd-parts-wholesale-quality-grades-pricing-supplier-guide,https://www.phonerepairspares.com/blog/phone-lcd-parts-wholesale-quality-grades-pricing-supplier-guide,2026-04-22T02:04:51.085Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,indexed_with_traffic,True,28,0,0.0,5.9,the-3-minute-iphone-oled-test-that-saved-me-12000-in-bad-screens,https://www.phonerepairspares.com/blog/the-3-minute-iphone-oled-test-that-saved-me-12000-in-bad-screens,2026-04-22T02:04:51.085Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,indexed_with_traffic,True,27,0,0.0,6.6,wholesale-phone-screens-vs-oem-aftermarket-profit,https://www.phonerepairspares.com/blog/wholesale-phone-screens-vs-oem-aftermarket-profit,2026-04-22T02:04:51.085Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,indexed_with_traffic,True,25,0,0.0,5.9,phone-parts-buying-budget-vs-premium-markets,https://www.phonerepairspares.com/blog/phone-parts-buying-budget-vs-premium-markets,2026-04-22T02:04:51.085Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,indexed_with_traffic,True,3,0,0.0,6.0,phone-parts-grading-explained-grade-a-meaning,https://www.phonerepairspares.com/blog/phone-parts-grading-explained-grade-a-meaning,2026-04-22T02:04:51.085Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,discovered_not_crawled,True,,,,,battery-reset-scams-how-wholesale-buyers-check-if-a-battery-is-really-new,https://www.phonerepairspares.com/blog/battery-reset-scams-how-wholesale-buyers-check-if-a-battery-is-really-new,2026-04-22T02:04:51.085Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,discovered_not_crawled,True,,,,,iphone-15-screen-grade-repair-shops,https://www.phonerepairspares.com/blog/iphone-15-screen-grade-repair-shops,2026-04-22T02:04:51.084Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,FIX_OR_DELETE,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,discovered_not_crawled,False,,,,,cell-phone-screen-replacement-wholesale-oem-vs-aftermarket-quality-the-insiders-guide,https://www.phonerepairspares.com/blog/cell-phone-screen-replacement-wholesale-oem-vs-aftermarket-quality-the-insiders-guide,,GSC 知道但 sitemap 没有：核实文章是否仍发布；若已废弃返回 410
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,indexed_no_traffic,True,,,,,small-repair-parts-quality-guide,https://www.phonerepairspares.com/blog/small-repair-parts-quality-guide,2026-04-22T02:04:51.085Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,discovered_not_crawled,True,,,,,is-this-iphone-battery-safe-to-reuse-test-guide,https://www.phonerepairspares.com/blog/is-this-iphone-battery-safe-to-reuse-test-guide,2026-04-22T02:04:51.085Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,discovered_not_crawled,True,,,,,iphone-screen-replacement-wholesale-repair-business,https://www.phonerepairspares.com/blog/iphone-screen-replacement-wholesale-repair-business,2026-04-22T02:04:51.085Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,indexed_no_traffic,True,,,,,phone-screen-wholesale-oem-vs-aftermarket,https://www.phonerepairspares.com/blog/phone-screen-wholesale-oem-vs-aftermarket,2026-04-22T02:04:51.085Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,discovered_not_crawled,True,,,,,wholesale-iphone-screens-grades-prices-moq,https://www.phonerepairspares.com/blog/wholesale-iphone-screens-grades-prices-moq,2026-04-22T02:04:51.085Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
P2,MERGE_301,B2B,wholesaler-pricing-grades,how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone,discovered_not_crawled,True,,,,,wholesale-iphone-screens-avoid-overstocking,https://www.phonerepairspares.com/blog/wholesale-iphone-screens-avoid-overstocking,2026-04-22T02:04:51.084Z,301 → /blog/how-do-you-choose-high-quality-screen-replacement-parts-for-your-phone（wholesaler-pricing-grades 集群）
