priority,bucket,query,gsc_position,gsc_impressions,gsc_clicks,monthly_volume,competition,cpc,commercial
61.2,LONGTAIL,iphone 14 pro max back glass replacement cost apple official,16.5,2,0,0,,,Y
60.5,LONGTAIL,how can i verify the quality of a seller before buying a wiko screen?,17.0,2,0,,,,Y
59.9,NEW,how much does it cost to fix back of iphone,57.3,3,0,170,LOW,,Y
58.5,LONGTAIL,iphone 14 pro max back glass repair cost apple,18.0,1,0,,,,Y
58.4,PUSH,iphone 14 pro back glass replacement cost,25.0,9,0,320,MEDIUM,0.95,Y
57.7,NEW,apple screen repair price,47.0,1,0,110,LOW,,Y
57.7,NEW,how much does an ipad battery cost,40.0,1,0,110,LOW,0.15,Y
57.2,LONGTAIL,ipad 10th generation battery price,29.0,1,0,10,LOW,,Y
57.0,LONGTAIL,how much does it cost to get the back of an iphone 14 pro max fixed,19.0,1,0,,,,Y
57.0,LONGTAIL,iphone 14 back glass repair cost 2026,19.0,1,0,0,,,Y
56.9,LONGTAIL,cost of ipad battery,36.0,1,0,70,LOW,0.17,Y
56.9,LONGTAIL,ipad battery price,34.0,1,0,70,LOW,0.17,Y
56.5,LONGTAIL,a manufacturer of cell phone screens,79.0,1,0,50,LOW,,Y
56.4,LONGTAIL,14 pro screen replacement cost,55.0,2,0,20,LOW,1.56,Y
56.4,LONGTAIL,wholesale cell phone batteries,35.0,2,0,20,LOW,,Y
56.3,LONGTAIL,apple iphone 14 pro max screen replacement cost,45.0,1,0,40,LOW,,Y
56.1,LONGTAIL,apple replacement phone cost,44.0,1,0,30,LOW,,Y
55.9,LONGTAIL,how much does a new back cost,95.0,1,0,20,LOW,,Y
55.4,PUSH,iphone 14 pro max back glass cost,19.9,20,0,10,HIGH,,Y
54.4,LONGTAIL,for iphone 14,5.0,1,0,70,LOW,,
52.6,LONGTAIL,how are phone screens made,6.5,4,0,20,LOW,,
51.6,NEW,iphone 14 pro max screen replacement cost,39.5,4,0,480,MEDIUM,1.06,Y
49.7,LONGTAIL,iphone 14 pro max rear glass replacement cost,25.6,5,0,30,MEDIUM,,Y
48.9,NEW,iphone 14 pro screen replacement cost,50.2,5,0,320,MEDIUM,0.84,Y
48.2,LONGTAIL,phone battery wholesale,31.3,16,0,10,MEDIUM,4.04,Y
48.0,PUSH,iphone 14 pro max back glass replacement price,27.2,12,0,390,HIGH,0.58,Y
48.0,LONGTAIL,oem cell phone batteries,25.0,1,0,,,,Y
47.3,LONGTAIL,give me some websites,10.0,1,0,90,LOW,,
46.5,LONGTAIL,iphone 14 pro max back glass replacement cost in canada,26.0,1,0,,,,Y
44.8,LONGTAIL,wholesale phone batteries,29.6,8,0,10,MEDIUM,4.04,Y
44.2,PUSH,iphone 14 pro back glass replacement,19.9,14,0,1600,HIGH,0.92,
44.0,LONGTAIL,esempio con foto,1.0,1,0,0,,,
44.0,LONGTAIL,iphone 14 pro max screen quality,1.0,1,0,,,,
44.0,LONGTAIL,precio?,1.0,1,0,,,,
43.2,PUSH,iphone 14 back glass replacement,27.9,36,0,1600,HIGH,0.68,
43.0,LONGTAIL,iphone back glass repair cost,54.5,6,0,0,,,Y
42.8,LONGTAIL,how much does it cost to fix the back of an iphone 14,29.8,5,0,,,,Y
42.5,LONGTAIL,cost of iphone 14 pro back glass repair,34.2,5,0,0,,,Y
42.5,LONGTAIL,iphone 14 pro max soft oled,2.0,1,0,,,,
42.3,LONGTAIL,14 pro max screen replacement cost,51.3,3,0,40,MEDIUM,0.18,Y
42.0,LONGTAIL,intitle:factory direct iphone cables no middleman,43.2,4,0,0,,,Y
42.0,LONGTAIL,iphone 14 pro max repair cost,34.0,4,0,0,,,Y
41.5,LONGTAIL,apple iphone screen repair cost,47.0,3,0,0,,,Y
41.5,LONGTAIL,ungrouped repair spares wholesale,82.3,3,0,0,,,Y
41.5,LONGTAIL,wholesale galaxy note batteries,39.3,3,0,0,,,Y
41.5,LONGTAIL,wholesale galaxy note battery,30.3,3,0,0,,,Y
41.2,LONGTAIL,iphone 6 screen replacement cost uk,60.0,2,0,10,,,Y
41.0,LONGTAIL,back of iphone repair cost,58.0,2,0,0,,,Y
41.0,LONGTAIL,cell phone screen factory,73.5,2,0,0,,,Y
41.0,LONGTAIL,cost to repair back glass iphone 14 pro,35.0,2,0,0,,,Y
41.0,LONGTAIL,iphone 14 back glass repair cost,35.0,2,0,0,,,Y
41.0,LONGTAIL,iphone 14 pro screen repair cost,57.0,2,0,0,,,Y
41.0,LONGTAIL,iphone repair cost,89.0,2,0,0,,,Y
41.0,LONGTAIL,tab-battery wholesale,40.0,2,0,0,,,Y
41.0,LONGTAIL,wholesale galaxy 7 batteries,33.5,2,0,0,,,Y
41.0,LONGTAIL,wholesale galaxy 7 battery,36.0,2,0,0,,,Y
40.5,LONGTAIL,apple iphone screen repair price,57.0,1,0,0,,,Y
40.5,LONGTAIL,back of iphone 14 cracked repair cost,44.0,1,0,0,,,Y
40.5,LONGTAIL,cost to repair iphone back glass,60.0,1,0,0,,,Y
40.5,LONGTAIL,iphone 14 pro max back glass repair cost,34.0,1,0,,,,Y
40.5,LONGTAIL,iphone 14 pro max screen repair cost,45.0,1,0,,,,Y
40.5,LONGTAIL,iphone 14 pro max water damage repair cost,51.0,1,0,,,,Y
40.5,LONGTAIL,iphone 14 repair cost,46.0,1,0,,,,Y
40.5,LONGTAIL,iphone 14 water damage repair cost,53.0,1,0,,,,Y
40.5,LONGTAIL,iphone back glass price,45.0,1,0,,,,Y
40.5,LONGTAIL,iphone back repair cost,35.0,1,0,,,,Y
40.5,LONGTAIL,iphone back replacement cost,58.0,1,0,,,,Y
40.5,LONGTAIL,iphone backlight repair cost,66.0,1,0,,,,Y
40.5,LONGTAIL,iphone display screen price,35.0,1,0,,,,Y
40.5,LONGTAIL,iphone lcd screen replacement cost,56.0,1,0,,,,Y
40.5,LONGTAIL,iphone screen change cost,57.0,1,0,,,,Y
40.5,LONGTAIL,iphone screen cost,47.0,1,0,,,,Y
40.5,LONGTAIL,iphone screen fix cost,74.0,1,0,,,,Y
40.5,LONGTAIL,iphone screen repair price,85.0,1,0,,,,Y
40.5,LONGTAIL,new battery for ipad cost,41.0,1,0,,,,Y
40.5,LONGTAIL,oem vs oled,49.0,1,0,,,,Y
40.0,LONGTAIL,how do i know if a seller is reliable for phone parts?,4.0,2,0,,,,
39.5,LONGTAIL,best iphone screen replacement options 2026,4.7,3,0,0,,,
37.6,LONGTAIL,mobile phone screen glass technical features manufacturing process,7.3,7,0,0,,,
35.1,LONGTAIL,glass technical features mobile phone screens how achieved manufacturing,10.3,11,0,0,,,
35.0,LONGTAIL,mobile phone glass screen technical features manufacturing process,7.0,1,0,,,,
33.6,NEW,do ipads have lithium batteries,50.5,2,0,880,LOW,,
33.1,NEW,does an ipad have a lithium battery,63.0,1,0,880,LOW,,
33.1,NEW,does ipad have lithium battery,50.0,1,0,880,LOW,,
32.9,LONGTAIL,14prm,2.0,1,0,20,HIGH,,
32.8,LONGTAIL,iphone 14 back glass replacement price,36.0,2,0,90,HIGH,1.39,Y
32.5,NEW,batteries for ipads,41.0,1,0,1600,MEDIUM,0.39,
32.5,NEW,battery for ipad,42.0,1,0,1600,MEDIUM,0.39,
32.0,LONGTAIL,apple iphone 14 pro repair pricing back glass rear system,9.0,1,0,0,,,
31.4,PUSH,soft oled vs hard oled,22.0,2,0,170,LOW,2.34,
31.0,LONGTAIL,aftermarket iphone oled screen touch sampling rate lower than original,10.3,3,0,0,,,
29.8,LONGTAIL,ip 14 pro,5.0,1,0,90,HIGH,0.09,
29.6,LONGTAIL,how much to replace iphone 14 pro max back glass,21.0,1,0,30,LOW,0.43,
27.5,LONGTAIL,iphone 14 pro max back screen replacement,12.0,1,0,,,,
27.3,NEW,how much to fix broken iphone screen,81.0,1,0,590,LOW,5.66,
26.0,NEW,iphone 14 screens,38.9,8,0,1600,HIGH,0.46,
25.9,LONGTAIL,best iphone 14 pro max screen replacement,8.3,6,0,20,HIGH,0.91,
24.9,PUSH,hard oled vs soft oled,26.7,3,0,170,LOW,1.94,
24.5,NEW,iphone 14 pro max screen,34.6,5,0,1600,HIGH,0.5,
24.5,PUSH,replace back glass iphone 14 pro max,15.0,2,0,50,MEDIUM,0.16,
24.5,LONGTAIL,iphone 14 back glass replacement difficulty,14.0,1,0,0,,,
21.5,LONGTAIL,how do i make sure this unbranded screen fits my specific phone model?,16.0,1,0,,,,
21.4,PUSH,apple iphone 14 pro back glass replacement,17.0,1,0,70,MEDIUM,,
21.2,NEW,incell vs oled,39.0,2,0,260,LOW,,
20.7,NEW,how much is a new ipad battery,37.0,3,0,210,LOW,1.16,
20.7,NEW,how much apple screen repair,56.0,1,0,260,LOW,,
19.7,NEW,how much to fix back of iphone,69.0,1,0,210,LOW,3.6,
19.7,NEW,how much to fix the back of an iphone,59.0,1,0,210,LOW,3.68,
18.9,NEW,how much is an ipad battery,37.0,1,0,170,LOW,0.63,
18.8,NEW,how much to fix back of iphone 14 pro max,36.5,2,0,140,LOW,4.76,
18.2,NEW,how much to fix iphone 14 pro max screen,57.5,2,0,110,LOW,4.05,
17.7,NEW,how much to fix iphone back glass,76.0,1,0,110,LOW,4.59,
17.6,LONGTAIL,does iphone 14 have glass back,42.5,4,0,30,LOW,,
17.4,LONGTAIL,how much to fix back of iphone 14 pro,37.0,2,0,70,LOW,0.45,
17.4,LONGTAIL,how much to replace back of iphone 14 pro max,33.5,2,0,70,LOW,0.09,
17.3,LONGTAIL,how much does apple charge to replace back glass,32.0,1,0,90,LOW,,
17.2,LONGTAIL,fix back of iphone 14,30.5,4,0,10,LOW,,
17.1,LONGTAIL,how much to fix back glass iphone 14 pro max,33.7,3,0,30,LOW,3.44,
16.9,PUSH,back glass replacement iphone 14 pro max,20.9,21,0,140,HIGH,0.56,
16.4,LONGTAIL,spare devices,39.0,2,0,20,LOW,,
16.3,LONGTAIL,how much is a battery for a samsung phone,49.0,1,0,40,LOW,0.07,
16.3,LONGTAIL,how much is a samsung phone battery,47.0,1,0,40,LOW,0.07,
15.6,PUSH,iphone 14 pro max rear glass replacement,17.4,5,0,210,HIGH,1.06,
13.0,LONGTAIL,45. phone repair kit,22.0,2,0,0,,,
11.0,LONGTAIL,replace back glass iphone 14 pro,23.0,1,0,,,,
10.5,PUSH,fix back of iphone 14 pro max,24.0,1,0,50,MEDIUM,1.75,
10.2,PUSH,14 pro max back glass replacement,21.0,5,0,210,HIGH,0.54,
10.0,LONGTAIL,iphone 14 pro max back glass repair,24.3,3,0,0,,,
9.9,LONGTAIL,fix back of iphone 14 pro,24.0,1,0,20,MEDIUM,2.98,
8.9,PUSH,iphone 14 pro max back replacement,21.7,6,0,170,HIGH,0.44,
8.0,LONGTAIL,iphone 14 pro max replacement screen,25.0,1,0,,,,
8.0,LONGTAIL,replace back of iphone 14,25.0,1,0,,,,
6.5,LONGTAIL,back glass repair iphone 14 pro,26.0,1,0,0,,,
6.5,LONGTAIL,iphone 14 pro max replace back glass,26.0,1,0,,,,
6.3,LONGTAIL,14 pro back glass,20.0,1,0,40,HIGH,0.13,
5.5,LONGTAIL,iphone 14 pro back glass repair,27.0,2,0,0,,,
5.4,NEW,apple iphone 14 back glass replacement,30.8,4,0,170,MEDIUM,0.06,
5.3,NEW,replacing iphone 14 screen,38.0,5,0,140,MEDIUM,0.73,
5.3,PUSH,14 pro back glass replacement,22.0,3,0,90,HIGH,0.28,
5.0,LONGTAIL,apple iphone 14 pro back glass repair rear system replacement,27.0,1,0,0,,,
5.0,LONGTAIL,iphone 14 pro max glass back,27.0,1,0,,,,
4.8,LONGTAIL,us cellular samsung galaxy 6 replacement battery,29.5,8,0,0,,,
4.7,PUSH,replace back of iphone 14 pro max,28.5,2,0,70,MEDIUM,1.53,
4.5,PUSH,iphone 14 pro max back glass,28.4,5,0,480,HIGH,0.34,
4.3,PUSH,iphone 14 pro rear glass replacement,23.0,2,0,140,HIGH,0.51,
4.2,LONGTAIL,back glass iphone 14 pro max replacement,21.0,1,0,10,HIGH,0.31,
3.5,PUSH,back glass replacement iphone 14 pro,22.0,1,0,50,HIGH,1.1,
3.0,LONGTAIL,note 4 us cellular battery,32.8,6,0,0,,,
3.0,LONGTAIL,14 pro max back glass repair,29.5,4,0,10,MEDIUM,,
2.4,LONGTAIL,back glass replacement for iphone 14 pro max,29.0,1,0,20,MEDIUM,,
2.0,LONGTAIL,how much is it to replace iphone 14 pro back glass,35.8,4,0,,,,
2.0,PUSH,iphone camera module,30.0,2,0,50,MEDIUM,0.07,
2.0,LONGTAIL,iphone 14 back glass repair,29.0,1,0,0,,,
1.8,PUSH,back glass iphone 14 pro max,24.0,2,0,90,HIGH,0.71,
1.1,NEW,iphone 14 back glass,30.7,3,0,480,HIGH,0.36,
1.1,LONGTAIL,can the back of an iphone 14 be replaced,41.0,1,0,30,MEDIUM,,
1.0,PUSH,iphone 14 pro back glass,28.2,4,0,320,HIGH,0.46,
0.7,PUSH,14 pro max back glass,24.5,2,0,70,HIGH,0.37,
0.5,LONGTAIL,back glass repair iphone 14 pro max,31.0,1,0,0,,,
0.5,LONGTAIL,cell phone repair market research report,36.0,1,0,0,,,
0.5,LONGTAIL,how much is a new screen for an iphone se,46.0,1,0,0,,,
0.5,LONGTAIL,how much to repair back of iphone,73.0,1,0,0,,,
0.5,PUSH,iphone 14 pro back screen replacement,24.0,1,0,50,HIGH,1.06,
0.5,LONGTAIL,iphone 14 pro max back screen repair,34.0,1,0,,,,
0.5,LONGTAIL,iphone 14 pro max broken back glass,42.0,1,0,,,,
0.5,LONGTAIL,oled vs lcd smartphone,66.0,1,0,,,,
0.5,LONGTAIL,replacement batteries for ipads,45.0,1,0,,,,
0.5,LONGTAIL,replacement battery for apple ipad,50.0,1,0,,,,
-1.3,PUSH,iphone 14 pro back replacement,26.0,1,0,110,HIGH,0.71,
-2.9,LONGTAIL,original back glass iphone 14 pro max,26.8,4,0,10,HIGH,,
-3.3,NEW,iphone 14 pro max display,47.7,3,0,260,HIGH,0.5,
-3.3,PUSH,iphone 14 pro max glass replacement,28.0,3,0,110,HIGH,1.23,
-3.8,PUSH,iphone 14 pro replace back glass,27.5,2,0,70,HIGH,1.05,
-4.3,PUSH,iphone 14 pro max back,30.0,3,0,210,HIGH,0.57,
-4.4,LONGTAIL,back replacement iphone 14 pro max,27.0,1,0,30,HIGH,0.35,
-4.7,PUSH,iphone 14 pro glass replacement,28.0,1,0,90,HIGH,1.18,
-5.2,LONGTAIL,iphone 14 pro max rear glass,28.0,2,0,40,HIGH,0.25,
-5.3,NEW,14 pro max screen,32.0,1,0,210,HIGH,0.45,
-5.7,PUSH,back of iphone 14 pro max,29.0,2,0,90,HIGH,0.2,
-5.9,LONGTAIL,14 pro max back,28.0,1,0,30,HIGH,0.47,
-7.4,LONGTAIL,back glass iphone 14 pro,29.0,1,0,30,HIGH,1.34,
-8.1,LONGTAIL,back glass replacement iphone 14,38.0,1,0,70,HIGH,0.5,
-8.9,LONGTAIL,fix iphone 14 pro back glass,37.0,1,0,30,HIGH,1.81,
-8.9,LONGTAIL,iphone 14 back screen,36.0,1,0,30,HIGH,0.32,
